,Diện tích,Mức giá,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,id,legal codes,direction codes,most_similar
1193,7200.0,0.044444444444444446,0,0,0,0,34329594,-1,-1,"['33086007', '32164264', '34156164', '29507692', '34052074']"
1194,200.0,4.5,0,0,0,0,34329635,101,-1,"['32873187', '34267482', '27700258', '34337101', '34344476']"
1195,5000.0,0.03,0,0,0,0,34329637,-1,-1,"['34329245', '33125321', '29546438', '34098747', '32578319']"
1196,200.0,0.0,12,18,0,0,34329641,38,-1,"['34282296', '34330996', '34275539', '34322162', '34322345']"
1197,200.0,4.75,15,12,0,0,34329715,-1,-1,"['34307728', '29848434', '29543635', '32200604', '30147637']"
1198,151.0,4.304635761589404,5,30.2,0,0,34329779,80,-1,"['34324786', '33891602', '33955367', '34235025', '34323411']"
1199,300.0,1.6666666666666667,4.5,6,0,0,34329800,95,-1,"['34338488', '34337863', '34322512', '33762925', '34321976']"
1200,1000.0,0.25,0,0,0,0,34329909,27,-1,"['34326747', '34332704', '24304311', '34305076', '34326023']"
1201,3500.0,0.2714285714285714,0,0,0,0,34329922,-1,-1,"['33086426', '32150925', '34329379', '34327107', '34305473']"
1202,200.0,0.0,20,10,0,0,34329932,65,-1,"['33129957', '34311410', '33813011', '28020842', '34338198']"
1203,17000.0,0.03823529411764706,0,0,0,0,34329950,-1,-1,"['34052218', '34320728', '34320276', '34328125', '33437017']"
1204,150.0,0.0,0,0,0,0,34329983,-1,-1,"['34329101', '34230084', '33110107', '27326859', '34048526']"
1205,151.0,0.0,20,20,0,0,34329986,99,-1,"['34311504', '34344161', '34267482', '28503552', '32873187']"
1206,230.0,0.0,6,10,0,0,34330124,80,-1,"['34342283', '34305504', '34330548', '34305367', '34311470']"
1207,200.0,0.0,0,0,0,0,34330260,34,-1,"['34265345', '34338169', '33503903', '34059671', '34338775']"
1208,200.0,0.0,7,5,0,0,34330307,-1,-1,"['34324670', '25373929', '25373823', '33412454', '30769190']"
1209,200.0,0.0,0,0,0,0,34330325,90,-1,"['34333563', '33469466', '34323323', '34342156', '34325880']"
1210,200.0,0.9,6,10,0,0,34330402,80,-1,"['34332684', '34332635', '34339123', '34181773', '33593861']"
1211,250.0,0.0,6,10,0,0,34330548,80,-1,"['34305367', '34332744', '34311470', '34311315', '34332771']"
1212,1000.0,0.13,20,26,0,0,34330926,80,-1,"['34292422', '32046875', '32094226', '32096692', '34343832']"
1213,334.0,4.491017964071856,5,5,3,2,34330994,-1,-1,"['34344208', '33364341', '34324396', '34326041', '33891799']"
1214,200.0,0.0,12,18,0,0,34330996,38,-1,"['34282296', '34329641', '34275539', '34322162', '34322345']"
1215,511.0,0.3424657534246575,12,725,0,0,34331129,80,-1,"['34338224', '34295108', '33941318', '34342215', '33320193']"
1216,14000.0,0.12857142857142856,0,0,0,0,34331187,-1,-1,"['34337833', '34200496', '33993980', '34052218', '34320728']"
1217,200.0,1.0,0,0,0,0,34331483,0,-1,"['33827039', '33849307', '34325495', '34311692', '33961781']"
1218,260.0,5.1923076923076925,0,0,7,8,34331806,80,-1,"['34333942', '34290788', '34309892', '33790988', '34217530']"
1219,200.0,0.0,5,10,0,0,34332013,-1,-1,"['31205239', '34324670', '25373823', '33412454', '25373929']"
1220,1000.0,0.125,10,4,0,0,34332014,80,-1,"['34235940', '34326555', '32334022', '34344933', '33618245']"
1221,200.0,0.0,25,20,0,0,34332155,80,-1,"['34292422', '32473843', '34277092', '34343832', '32046875']"
1222,200.0,4.75,15,13,0,0,34332160,80,-1,"['34307021', '32247651', '34339594', '34299340', '33366083']"
1223,840.0,15.0,16,16,3,4,34332197,80,-1,"['34264136', '34322740', '34155405', '33973995', '34118078']"
1224,200.0,0.0,30,20,0,0,34332220,32,-1,"['34322196', '31239402', '34265345', '34120377', '34303579']"
1225,160000.0,0.035,0,0,0,0,34332246,80,-1,"['34274042', '33285477', '34323977', '31839809', '31863043']"
1226,200.0,0.975,10,6,0,0,34332308,80,-1,"['34253390', '33383022', '34253999', '34326795', '34318978']"
1227,166.3,9.260372820204449,0,0,5,3,34332509,80,-1,"['33973995', '34118078', '34155405', '34322740', '33477553']"
1228,200.0,0.0,0,0,0,0,34332574,80,-1,"['34323058', '33950078', '33915423', '33804028', '34305667']"
1229,140.0,0.8571428571428571,0,6,0,0,34332628,80,-1,"['34335005', '34253479', '34334858', '34333317', '33595144']"
1230,200.0,0.9,6,10,0,0,34332635,80,-1,"['34332684', '34330402', '34339123', '34181773', '33593861']"
1231,200.0,0.9,6,10,0,0,34332684,80,-1,"['34332635', '34330402', '34339123', '34181773', '33593861']"
1232,300.0,2.0,4.5,6,0,0,34332704,25,-1,"['34329909', '34337895', '34326747', '34305253', '34326023']"
1233,700.0,0.0,12,12,0,0,34332720,110,-1,"['30010782', '33183767', '32873490', '34276150', '30536619']"
1234,250.0,0.0,6,10,0,0,34332744,80,-1,"['34330548', '34305367', '34311470', '34311315', '34332771']"
1235,260.0,0.0,6,10,0,0,34332771,80,-1,"['34311470', '34311315', '34332744', '34330548', '34305367']"
1236,514.0,0.31536964980544746,0,0,0,0,34332813,80,-1,"['34300225', '34148972', '32569466', '32831207', '34288562']"
1237,150.0,3.0,20,5,0,0,34332996,80,-1,"['33911116', '33486419', '33168702', '33557479', '33785400']"
